"ITEM NUMBER","NAME","DESCRIPTION","Available In","Min Order","Weight Grams/m²","Weight Ounces/yard²","Width Cm","Width Inches","Image 1","Image 2","Image 3","Image 4","Product URL"
"2704001","TWC BR","14""x15""Bleached cotton terry with optical Brightener","","","0","0","0","0","","","","","http://testfabrics.com/product-detail.php?id=TmpVd05nPT0=&pid=TlRrPQ=="
"2704002","TWC BR TAG","14""x15""Bleached cotton terry with optical Brightener with Tag","","","0","0","0","0","","","","","http://testfabrics.com/product-detail.php?id=TmpVd053PT0=&pid=TlRrPQ=="
"9999","testing product","Voluptates at repell","Box of 500 Pieces","","630","80","4","19","","","","","http://testfabrics.com/product-detail.php?id=TVRJd056ST0=&pid=TlRrPQ=="
